#SUBMITTED ID	FBID_KEY	CLASSICAL_ALLELES	GENE_MODEL_STATUS	SPECIES	SYMBOL
AGO1	FBgn0262739	AGO1[EMS] <newline> AGO1[1] <newline> AGO1[2] <newline> AGO1[3] <newline> AGO1[4] <newline> AGO1[5] <newline> AGO1[6] <newline> AGO1[7] <newline> AGO1[8] <newline> AGO1[9] <newline> AGO1[10] <newline> AGO1[11] <newline> AGO1[12] <newline> AGO1[13] <newline> AGO1[14] <newline> AGO1[15] <newline> AGO1[DRH-4] <newline> AGO1[jj472] <newline> AGO1[Q127X] <newline> AGO1[D743N] <newline> AGO1[E808K] <newline> AGO1[R839X] <newline> AGO1[W894X] <newline> AGO1[T908M] <newline> AGO1[R937C] <newline> AGO1[J04] <newline> AGO1[EY21521] <newline> AGO1[04845] <newline> AGO1[k00208] <newline> AGO1[72] <newline> AGO1[50C-81] <newline> AGO1[50C-68] <newline> AGO1[f07079] <newline> AGO1[G2846] <newline> AGO1[50C-102] <newline> AGO1[50C-85] <newline> AGO1[c05033] <newline> AGO1[SH1307] <newline> AGO1[NP2077] <newline> AGO1[e01877] <newline> AGO1[45] <newline> AGO1[CA06914] <newline> AGO1[k08121] <newline> AGO1[5-HA-2971] <newline> AGO1[NP2416] <newline> AGO1[k16601] <newline> AGO1[NP3498] <newline> AGO1[d01402]	Current	melanogaster	AGO1
AGO2	FBgn0087035	AGO2[414] <newline> AGO2[51B] <newline> AGO2[EP3417] <newline> AGO2[EY04479] <newline> AGO2[S1008] <newline> AGO2[321] <newline> AGO2[454] <newline> AGO2[CPTI002343] <newline> AGO2[CPTI000743] <newline> AGO2[NP3072] <newline> AGO2[NP4402] <newline> AGO2[V966M] <newline> AGO2[CA07002] <newline> AGO2[1113-G4] <newline> AGO2[1401-G4]	Current	melanogaster	AGO2
AGO3	FBgn0250816	AGO3[t1] <newline> AGO3[t2] <newline> AGO3[t3] <newline> AGO3[1270] <newline> AGO3[1777] <newline> AGO3[5057] <newline> AGO3[5027] <newline> AGO3[2678] <newline> AGO3[5817] <newline> AGO3[3840] <newline> AGO3[1397] <newline> AGO3[g1] <newline> AGO3[g2] <newline> AGO3[g3] <newline> AGO3[g4]	Current	melanogaster	AGO3
AIF	FBgn0031392	AIF[e04281] <newline> AIF[rev7] <newline> AIF[GE14994] <newline> AIF[T52]	Current	melanogaster	AIF
AIMP2	FBgn0036515	-	Current	melanogaster	AIMP2
AIMP3	FBgn0050185	AIMP3[EY11794] <newline> AIMP3[EY16074] <newline> AIMP3[d11316] <newline> AIMP3[CB-6776-3]	Current	melanogaster	AIMP3
ALiX	FBgn0086346	ALiX[EY10362] <newline> ALiX[c02665] <newline> ALiX[e03200] <newline> ALiX[f03094] <newline> ALiX[GS9660] <newline> ALiX[3] <newline> ALiX[LL05494]	Current	melanogaster	ALiX
AMPKalpha	FBgn0023169	AMPKalpha[1] <newline> AMPKalpha[2] <newline> AMPKalpha[3] <newline> AMPKalpha[D39] <newline> AMPKalpha[Delta39] <newline> AMPKalpha[unspecified] <newline> AMPKalpha[G505] <newline> AMPKalpha[D1] <newline> AMPKalpha[D2] <newline> AMPKalpha[B] <newline> AMPKalpha[A]	Current	melanogaster	AMPKalpha
AMPdeam	FBgn0052626	AMPdeam[EY04712] <newline> AMPdeam[c00517] <newline> AMPdeam[d08227] <newline> AMPdeam[MI05700] <newline> AMPdeam[CPTI001081] <newline> AMPdeam[HP10734] <newline> AMPdeam[NP2469] <newline> AMPdeam[c00756] <newline> AMPdeam[f03990]	Current	melanogaster	AMPdeam
AOX1	FBgn0267408	AOX1[d03463] <newline> AOX1[MI05199] <newline> AOX1[F] <newline> AOX1[LVM] <newline> AOX1[S] <newline> AOX1[lpo]	Current	melanogaster	AOX1
